ID,Level,German,English,CEFR
0001,1,aufgeben,abandon,B2
0002,1,Absolute,absolute,B2
0003,1,akademisch,academic,B2
0004,1,akzeptabel,acceptable,B2
0005,1,begleiten,accompany,B2
0006,1,Konto,account,B2
0007,1,genau,accurate,B2
0008,1,beschuldigen,accuse,B2
0009,1,anerkennen,acknowledge,B2
0010,1,erwerben,acquire,B2
0011,1,tatsächlich,actual,B2
0012,1,anpassen,adapt,B2
0013,1,zusätzlich,additional,B2
0014,1,Adresse,address,B2
0015,1,Verwaltung,administration,B2
0016,1,adoptieren,adopt,B2
0017,1,Vorauszahlung,advance,B2
0018,1,Affäre,affair,B2
0019,1,nachher,afterwards,B2
0020,1,Agentur,agency,B2
0021,1,Agenda,agenda,B2
0022,1,aggressiv,aggressive,B2
0023,1,Hilfe,aid,B2
0024,1,Flugzeug,aircraft,B2
0025,1,Alarm,alarm,B2
0026,1,ändern,alter,B2
0027,1,Menge,amount,B2
0028,1,Wut,anger,B2
0029,1,Winkel,angle,B2
0030,1,Jubiläum,anniversary,B2
0031,1,jährlich,annual,B2
0032,1,ängstlich,anxious,B2
0033,1,ersichtlich,apparent,B2
0034,1,scheinbar,apparently,B2
0035,1,appellieren,appeal,B2
0036,1,Ansatz,approach,B2
0037,1,geeignet,appropriate,B2
0038,1,Genehmigung,approval,B2
0039,1,genehmigen,approve,B2
0040,1,entstehen,arise,B2
0041,1,bewaffnet,armed,B2
0042,1,Waffen,arms,B2
0043,1,künstlich,artificial,B2
0044,1,künstlerisch,artistic,B2
0045,1,beschämt,ashamed,B2
0046,1,Aspekt,aspect,B2
0047,1,bewerten,assess,B2
0048,1,Bewertung,assessment,B2
0049,1,assoziieren,associate,B2
0050,1,verbunden,associated,B2
0051,1,Verein,association,B2
0052,1,annehmen,assume,B2
0053,1,versuchen,attempt,B2
0054,1,zurück,back,B2
0055,1,Bakterien,bacteria,B2
0056,1,Bar,bar,B2
0057,1,Barriere,barrier,B2
0058,1,grundsätzlich,basically,B2
0059,1,Schlacht,battle,B2
0060,1,tragen,bear,B2
0061,1,schlagen,beat,B2
0062,1,bitten,beg,B2
0063,1,Sein,being,B2
0064,1,gebogen,bent,B2
0065,1,Wette,bet,B2
0066,1,darüber hinaus,beyond,B2
0067,1,Rechnung,bill,B2
0068,1,bitter,bitter,B2
0069,1,beschuldigen,blame,B2
0070,1,blind,blind,B2
0071,1,Bindung,bond,B2
0072,1,Grenze,border,B2
0073,1,schließen1,close1,B2
0074,1,eng,closely,B2
0075,1,Brust,breast,B2
0076,1,knapp,brief,B2
0077,1,breit,broad,B2
0078,1,übertragen,broadcast,B2
0079,1,Budget,budget,B2
0080,1,Kugel,bullet,B2
0081,1,Bündel,bunch,B2
0082,1,brennen,burn,B2
0083,1,Busch,bush,B2
0084,1,Aber,but,B2
0085,1,Kabel,cable,B2
0086,1,berechnen,calculate,B2
0087,1,stornieren,cancel,B2
0088,1,Krebs,cancer,B2
0089,1,fähig,capable,B2
0090,1,Kapazität,capacity,B2
0091,1,erfassen,capture,B2
0092,1,gießen,cast,B2
0093,1,fangen,catch,B2
0094,1,Zelle,cell,B2
0095,1,Kette,chain,B2
0096,1,Stuhl,chair,B2
0097,1,Vorsitzende,chairman,B2
0098,1,Herausforderung,challenge,B2
0099,1,Merkmal,characteristic,B2
0100,1,Diagramm,chart,B2
0101,2,Chef,chief,B2
0102,2,Umstand,circumstance,B2
0103,2,zitieren,cite,B2
0104,2,Bürger,citizen,B2
0105,2,bürgerlich,civil,B2
0106,2,Klassiker,classic,B2
0107,2,Zusammenbruch,collapse,B2
0108,2,Kombination,combination,B2
0109,2,Komfort,comfort,B2
0110,2,Befehl,command,B2
0111,2,Kommission,commission,B2
0112,2,Engagement,commitment,B2
0113,2,Ausschuss,committee,B2
0114,2,häufig,commonly,B2
0115,2,Komplex,complex,B2
0116,2,kompliziert,complicated,B2
0117,2,Komponente,component,B2
0118,2,Rat,council,B2
0119,2,Konzentration,concentration,B2
0120,2,Konzept,concept,B2
0121,2,Sorge,concern,B2
0122,2,betroffen,concerned,B2
0123,2,Benehmen,conduct,B2
0124,2,Vertrauen,confidence,B2
0125,2,Konflikt,conflict,B2
0126,2,verwirrend,confusing,B2
0127,2,bewusst,conscious,B2
0128,2,konservativ,conservative,B2
0129,2,Rücksichtnahme,consideration,B2
0130,2,konsistent,consistent,B2
0131,2,Konstante,constant,B2
0132,2,ständig,constantly,B2
0133,2,Konstrukt,construct,B2
0134,2,Konstruktion,construction,B2
0135,2,zeitgenössisch,contemporary,B2
0136,2,Wettbewerb,contest,B2
0137,2,Vertrag,contract,B2
0138,2,beitragen,contribute,B2
0139,2,Beitrag,contribution,B2
0140,2,konvertieren,convert,B2
0141,2,überzeugt,convinced,B2
0142,2,Kern,core,B2
0143,2,Unternehmen,corporate,B2
0144,2,County,county,B2
0145,2,Mut,courage,B2
0146,2,Absturz,crash,B2
0147,2,Schaffung,creation,B2
0148,2,Kreatur,creature,B2
0149,2,Kredit,credit,B2
0150,2,Crew,crew,B2
0151,2,Krise,crisis,B2
0152,2,Kriterium,criterion,B2
0153,2,Kritiker,critic,B2
0154,2,kritisch,critical,B2
0155,2,Kritik,criticism,B2
0156,2,kritisieren,criticize,B2
0157,2,Ernte,crop,B2
0158,2,entscheidend,crucial,B2
0159,2,weinen,cry,B2
0160,2,Heilung,cure,B2
0161,2,aktuell,current,B2
0162,2,Kurve,curve,B2
0163,2,gebogen,curved,B2
0164,2,Datum,date,B2
0165,2,Debatte,debate,B2
0166,2,Schulden,debt,B2
0167,2,anständig,decent,B2
0168,2,erklären,declare,B2
0169,2,Abfall,decline,B2
0170,2,Dekoration,decoration,B2
0171,2,verringern,decrease,B2
0172,2,tief,deeply,B2
0173,2,Verlust,defeat,B2
0174,2,Verteidigung,defence,B2
0175,2,verteidigen,defend,B2
0176,2,Verzögerung,delay,B2
0177,2,absichtlich,deliberate,B2
0178,2,absichtlich,deliberately,B2
0179,2,Freude,delight,B2
0180,2,erfreut,delighted,B2
0181,2,Lieferung,delivery,B2
0182,2,Nachfrage,demand,B2
0183,2,zeigen,demonstrate,B2
0184,2,leugnen,deny,B2
0185,2,gedrückt,depressed,B2
0186,2,deprimierend,depressing,B2
0187,2,Tiefe,depth,B2
0188,2,Wüste,desert,B2
0189,2,verdienen,deserve,B2
0190,2,Wunsch,desire,B2
0191,2,verzweifelt,desperate,B2
